depth D2,Apical_Width,Apical_Height
319.94,312.9688706,234.4998143
305.499,276.0776878,298.5780616
301.87,321.971004,301.0033345
392.283,291.231843,299.7467313
348.446,291.5766105,275.6239309
361.264,352.4709577,296.7511904
