depth D2,Apical_Width,Apical_Height
631.608,290.9383753,621.9066196
670.635,327.0697812,633.1963611
628.412,293.355365,586.1483083
609.289,368.5080544,592.0856006
586.546,395.1529914,626.0705562
675.02,341.420936,570.2911282
622.524,455.6442171,613.373788
