depth D2,Dendritic_Volume,Apical_Height
649.59,19729726.29,260.6743323
632,15049504.3,303.0843754
654.677,9942267.773,272.664842
695.437,26055769.81,291.3494845
656.369,25286260.01,388.9004948
565.435,28878716.68,341.7791068
701.268,31799796.24,0
